업소명,업종,도로명주소,지번주소,위도,경도,전화번호,기준일자
예전각전복설렁탕,한식,수원시 장안구 경수대로 816(영화동),경기도 수원시 장안구 영화동 97-29,37.2943942,127.0173741,031-245-2003,2025-03-18
시골밥집,한식,수원시 장안구 파장로76번길 25 (파장동),경기도 수원시 장안구 파장동 579-26,37.3071389,126.9933424,031-257-6717,2025-03-18
풍년식당,한식,수원시 장안구 팔달로 271번길 40 (영화동),경기도 수원시 장안구 영화동 275-7 경북여인숙,37.2911538,127.0135256,031-243-8237,2025-03-18
흥부네정육식당,한식,"수원시 장안구 정자로 146, 한솔빌딩 1층 (정자동)",경기도 수원시 장안구 정자동 454 한솔빌딩,37.3039613,126.9923549,031-269-0080,2025-03-18
진천생고기,한식,수원시 장안구 정조로934번길 25(영화동),경기도 수원시 장안구 영화동 293-38 풍천민물장어,37.2916844,127.0139945,031-256-3074,2025-03-18
정가네손칼국수,한식,"수원시 장안구 장안로75번길 52-2, 102호(정자동)",경기도 수원시 장안구 정자동 74-52,37.2903241,127.000137,031-252-9696,2025-03-18
똘똘이네M카페,한식,수원시 권선구 고색로 54번길66(고색동),경기도 수원시 권선구 고색동 299-8,37.2474241,126.9837744,031-278-5081,2025-03-18
가능골식당,한식,수원시 권선구 세지로42번길49 (세류동),경기도 수원시 권선구 세류동 1082-9,37.2551798,127.0190755,031-223-1620,2025-03-18
한우돈가,한식,수원시 권선구 효탑로 51(탑동),경기도 수원시 권선구 탑동 430-2,37.2680545,126.9728183,031-296-8592,2025-03-18
청명쭈꾸미철판구이,한식,수원시 권선구 권중로56번길 48 (권선동),경기도 수원시 권선구 권선동 1254-3,37.2530194,127.0288239,031-239-7892,2025-03-18
좋은고기,한식,수원시 권선구 세지로4번길 7-15(세류동),경기도 수원시 권선구 세류동 1112-7,37.2531536,127.0152292,031-233-7727,2025-03-18
못골해장국,한식,"수원시 권선구 금호로246번길 15-4,  (탑동)",경기도 수원시 권선구 탑동 5-6,37.2749485,126.9773175,031-278-3493,2025-03-18
스타마법요리,양식,수원시 권선구 매실로53번길 19 (호매실동),경기도 수원시 권선구 호매실동 395-14,37.2686703,126.9562376,031-291-8485,2025-03-18
영풍생고기,한식,수원시 팔달구 권광로276번길 9(인계동),경기도 수원시 팔달구 인계동 371-1 삼성아파트,37.2717415,127.0366581,031-214-3326,2025-03-18
푸드맘(교동점),한식, 수원시 팔달구 매산로 128(교동),경기도 수원시 팔달구 교동 132-4,37.2717437,127.0147535,031-236-6777,2025-03-18
통큰칼국수,한식,수원시 팔달구 중부대로17번길 14(영동),경기도 수원시 팔달구 영동 28-13,37.2759985,127.0188838,031-248-9464,2025-03-18
일미닭갈비파전,한식,수원시 팔달구 아주로 47번길 12 (우만동),경기도 수원시 팔달구 우만동 59,37.2792259,127.0430561,031-217-1242,2025-03-18
남문순대국,한식,수원시 팔달구 정조로791번길 5 (팔달로2가),경기도 수원시 팔달구 팔달로2가 87-1,37.2785414,127.0162817,031-245-8976,2025-03-18
옛날손칼국수,한식,수원시 팔달구 중부대로 36-1(인계동),경기도 수원시 팔달구 인계동 757-29,37.2751064,127.0208323,031-232-9298,2025-03-18
모이세 분식,한식,수원시 팔달구 팔달문로3번길 5(팔달로2가),경기도 수원시 팔달구 팔달로2가 47-11,37.2779073,127.0175922,031-245-1189,2025-03-18
해운대 국밥,한식,"수원시 팔달구 행궁로 106, 1층 (교동)",경기도 수원시 팔달구 교동 114-1,37.2731366,127.0158005,031-245-5582,2025-03-18
착한칼국수,한식,"수원시 팔달구 수원천로 258번길 13, 1층 (지동)",경기도 수원시 팔달구 지동 397-17,37.2765734,127.0203066,031-252-3359,2025-03-18
푸딩김밥,한식,수원시 팔달구 세지로 421 (우만동),경기도 수원시 팔달구 우만동 494-2,37.2865016,127.0307043,031-254-2567,2025-03-18
순보리네식당,한식,수원시 팔달구 장다리로 163 (인계동),경기도 수원시 팔달구 인계동 1010-11,37.2645635,127.0237341,031-225-5464,2025-03-18
홍두깨,한식,수원시 팔달구 정조로758번길 21 (영동),경기도 수원시 팔달구 영동 13-4,37.2757912,127.0180435,031-247-3351,2025-03-18
백천홍두깨칼국수,한식,수원시 팔달구 수원천로 264번길 21-11 (지동),경기도 수원시 팔달구 지동 400-8,37.2774127,127.019896,070-7559-1261,2025-03-18
마포생고기,한식,수원시 팔달구 향교로 132-1 (교동),경기도 수원시 팔달구 교동 93-3,37.2726416,127.014706,031-255-1264,2025-03-18
셰프스위트,양식,수원시 팔달구 정조로801번길 27(남창동),경기도 수원시 팔달구 남창동 78,37.2799694,127.0151177,031-242-6898,2025-03-18
츠요이,일식,수원시 팔달구 정조로801번길 27(남창동),경기도 수원시 팔달구 남창동 78,37.2799694,127.0151177,031-252-6898,2025-03-18
미소레,카페/제과,"수원시 팔달구 매산로1가 17 역전지하상가 나열 8,9,10호(매산로1가)",경기도 수원시 팔달구 매산로1가 17,37.2695023,126.9984709,031-247-9449,2025-03-18
분식나라 김밥마을,한식,수원시 영통구 덕영대로 1699(영통동),경기도 수원시 영통구 영통동 1024-7 영통빌딩,37.247974,127.0770925,031-206-0599,2025-03-18
뚱가네,한식,수원시 영통구 영통로 217번길5(영통동),경기도 수원시 영통구 영통동 978-6,37.2466737,127.0565997,031-234-5208,2025-03-18
국수촌,한식,수원시 영통구 매여울로53번길 63-2(매탄동),경기도 수원시 영통구 매탄동 172-61,37.2726669,127.0411348,031-213-5033,2025-03-18
늘푸른밥상,한식,수원시 영통구 매봉로27번길 28(매탄동),경기도 수원시 영통구 매탄동 111-98,37.2709832,127.0511031,031-217-0235,2025-03-18
경성89,한식,"수원시 영통구 법조로 25, 광교 SK뷰레이크근린생활동2층 203,204,205호(하동)",경기도 수원시 영통구 하동 1016-1 광교 SK VIEW Lake,37.2874971,127.0602549,031-212-7878,2025-03-18
도톰,일식,"수원시 영통구 중부대로256번길 48, 1층 일부호(매탄동)",경기도 수원시 영통구 매탄동 172-88,37.2726508,127.042751,031-213-3536,2025-03-18
붕붕샐러드,샐러드,수원시 영통구 신원로 146(신동),경기도 수원시 영통구 신동 340-7,37.2494864,127.0570273,031-206-9891,2025-03-18
장터밥상,한식,수원시 영통구 반달로46(영통동),경기도 수원시 영통구 영통동 1005-7,37.2501477,127.0767011,031-203-4846,2025-03-18
(장안)전주콩나물국밥,한식,수원시 장안구 조원로 89번길 31 (조원동),경기도 수원시 장안구 조원동 766-11,37.2998649,127.0145522,031-251-1174,2025-03-18
가람,한식, 수원시 팔달구 매산로20번길 21 (매산로2가) 103호,경기도 수원시 팔달구 매산로2가 97-21,37.2665033,127.0033591,031-245-3695,2025-03-18
강릉장칼국수,한식, 수원시 팔달구 수원천로 314 (남수동) 1층,경기도 수원시 팔달구 남수동 72-1,37.2814512,127.0185721,031-241-7959,2025-03-18
금자칼국수,한식," 수원시 권선구 세권로 185 (권선동) 173, 174호",경기도 수원시 권선구 권선동 1051,37.2560685,127.0247128,031-235-1237,2025-03-18
넘버원김밥,한식, 수원시 권선구 세권로 185 (권선동) 168호,경기도 수원시 권선구 권선동 1051,37.2560685,127.0247128,031-234-9333,2025-03-18
마음(MAUM),카페/제과, 수원시 영통구 매영로 87 (매탄동) 1층,경기도 수원시 영통구 매탄동 1215-8 진생빌딩,37.2680356,127.0524178,0507-1408-2019,2025-03-18
만두가게,한식, 수원시 팔달구 수원천로 315 (남수동) 1층,경기도 수원시 팔달구 남수동 130-2,37.2814828,127.0179216,031-251-3900,2025-03-18
요고트팜,카페/제과, 수원시 영통구 아주로 34 (원천동) 1층,경기도 수원시 영통구 원천동 22-1,37.2778541,127.0440683,031-306-0608,2025-03-18
이화식당,한식, 수원시 팔달구 중부대로128번길 62 (인계동),경기도 수원시 팔달구 인계동 954-11,37.2755539,127.0290444,031-238-2097,2025-03-18
착한설렁탕,한식, 수원시 팔달구 장다리로 222 (인계동) 1층,경기도 수원시 팔달구 인계동 965-9,37.2695201,127.0262271,031-224-7316,2025-03-18
천연석돌구이,한식," 수원시 영통구 삼성로 274 (원천동) 지하1층 상가 27,30호",경기도 수원시 영통구 원천동 332-2 수원팩토리월드,37.2655388,127.0643859,031-213-3408,2025-03-18
평화정육식당,한식," 수원시 팔달구 동말로68번길 15 (화서동, 수정아파트) 화서시장 가동 1층",경기도 수원시 팔달구 화서동 97-2 수정아파트,37.2781858,127.002304,031-242-8292,2025-03-18
항아리쭈꾸미,한식, 수원시 영통구 덕영대로1556번길 16 (영통동) 170호,경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩,37.2452904,127.0591706,031-202-1208,2025-03-18
황금족발순대국,한식," 수원시 영통구 권광로260번길 36 (매탄동, 현대힐스테이트아파트) 106호",경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트,37.2716966,127.0396241,031-217-7877,2025-03-18
지동손칼국수,한식,수원시 팔달구 세지로 298-1(지동),경기도 수원시 팔달구 지동 123-91,37.2777495,127.023945,031-254-4236,2025-03-18
지동슈퍼,카페/제과,수원시 팔달구 창룡문로 75-2 (지동),경기도 수원시 팔달구 지동 270-13,37.2837869,127.0240261,0507-877-3373,2025-03-18
중앙국수,한식,"수원시 팔달구 팔달문로 7, 2층 (팔달로2가)",경기도 수원시 팔달구 팔달로2가 48-7,37.277687,127.0182582,031-255-6614,2025-03-18
미랑,한식,"수원시 장안구 만석로 181, 1층 (송죽동)",경기도 수원시 장안구 송죽동 272-22,37.3030431,126.9992862,031-255-7200,2025-03-18
도담칡냉면,한식, 수원시 장안구 수성로382번길 32-3 (영화동),경기도 수원시 장안구 영화동 292-1,37.2927131,127.0145211,031-247-0925,2025-03-18
수원칼국수,한식, 수원시 영통구 태장로 81 (망포동) 103호,경기도 수원시 영통구 망포동 382-3 망포동 e-타운ll,37.2397865,127.0548346,031-205-2006,2025-03-18
전주식당,한식, 수원시 장안구 수성로382번길 38-11 (영화동),경기도 수원시 장안구 영화동 291-4 수원식당,37.2920395,127.0147885,031-244-1717,2025-03-18
금촌샤브칼국수,한식, 수원시 영통구 태장로 73 (망포동) 202호,경기도 수원시 영통구 망포동 378 정석 그린프라자,37.2393257,127.0543271,031-205-5636,2025-03-18
까페시모 우만점,카페/제과, 수원시 팔달구 경수대로656번길 37-22 (우만동) 1층,경기도 수원시 팔달구 우만동 505-12,37.2856314,127.0297361,031-304-0307,2025-03-18
꼼빠도르,카페/제과," 수원시 팔달구 정조로 797-2 (팔달로2가) 101, 102호",경기도 수원시 팔달구 팔달로2가 101-1,37.2793281,127.0163533,031-243-0588,2025-03-18
빵마루,카페/제과, 수원시 팔달구 세지로174번길 33 (인계동) 1층,경기도 수원시 팔달구 인계동 990-8,37.2665554,127.0237793,031-225-4507,2025-03-18
샐러디치오도씨 수원성대점,양식, 수원시 장안구 서부로2106번길 21 (율전동) 1층 4호,경기도 수원시 장안구 율전동 433-63 왕돈까스,37.2972733,126.9713749,0507-1468-1401,2025-03-18
파란풍차제과점,카페/제과, 수원시 권선구 하탑로 47 (탑동) 1층,경기도 수원시 권선구 탑동 356-9,37.2692982,126.9768734,031-296-9036,2025-03-18
광명수산 수원역점,일식, 수원시 팔달구 갓매산로 38 (매산로2가) 1층,경기도 수원시 팔달구 매산로2가 63-4 다성빌딩,37.267879,127.0056539,031-244-8899,2025-03-18
초이스시,일식," 수원시 팔달구 팔달문로153번길 7 (우만동, 스타맨션) 1층 101호",경기도 수원시 팔달구 우만동 529 스타맨션,37.2831945,127.0324841,031-309-0707,2025-03-18
영아네,한식, 수원시 영통구 중부대로256번길 54 (매탄동),경기도 수원시 영통구 매탄동 194-1,37.2723324,127.0426151,,2025-03-18
오늘은 분식,한식," 수원시 영통구 권광로260번길 36 (매탄동, 현대힐스테이트아파트) 상가2동 119호",경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트,37.2716966,127.0396241,031-212-3849,2025-03-18
레알떡볶이,한식, 수원시 영통구 봉영로 1623 (영통동) 1층 133-2호,경기도 수원시 영통구 영통동 958-1 드림피아빌딩,37.2559363,127.0747301,0507-1311-8698,2025-03-18
은하식당,한식, 수원시 영통구 청명남로50번길 20 (영통동) 1층,경기도 수원시 영통구 영통동 1036-6,37.253154,127.0775614,0507-1338-8487,2025-03-18
24시 전주국밥(콩마루),한식, 수원시 영통구 청명남로 46 (영통동) 1층,경기도 수원시 영통구 영통동 1037-3,37.2534424,127.0765376,031-202-3324,2025-03-18
선행분식,한식, 수원시 영통구 신원로198번길 47-10 (매탄동) 1층,경기도 수원시 영통구 매탄동 510-10,37.2545689,127.0614134,0507-1343-9342,2025-03-18
황보네 분식,한식, 수원시 권선구 권광로 89 (권선동) ,경기도 수원시 권선구 권선동 1042-16,37.255871,127.0293626,031-226-0137,2025-03-18
