업종,상호명,대표자,소재지도로명주소,소재지지번주소,위도,경도,전화번호,기준일
한식,예전각전복설렁탕,이승재,수원시 장안구 경수대로 816(영화동),경기도 수원시 장안구 영화동 97-29,37.2943942,127.0173741,031-245-2003,2025-03-18
한식,시골밥집,손연우,수원시 장안구 파장로76번길 25 (파장동),경기도 수원시 장안구 파장동 579-26,37.3071389,126.9933424,031-257-6717,2025-03-18
한식,풍년식당,정용진,수원시 장안구 팔달로 271번길 40 (영화동),경기도 수원시 장안구 영화동 275-7 경북여인숙,37.2911538,127.0135256,031-243-8237,2025-03-18
한식,흥부네정육식당,도준형,"수원시 장안구 정자로 146, 한솔빌딩 1층 (정자동)",경기도 수원시 장안구 정자동 454 한솔빌딩,37.3039613,126.9923549,031-269-0080,2025-03-18
세탁업,동남세탁소,우상만,수원시 장안구 만석로101번길 46 (정자동),경기도 수원시 장안구 정자동 327-12,37.3007497,126.9913813,031-253-1414,2025-03-18
미용업,전미래헤어월드,전인기,수원시 장안구 수성로 304번길 19(영화동),경기도 수원시 장안구 영화동 388-17 은광교회,37.2905436,127.0062208,031-252-3641,2025-03-18
미용업,컷트클럽,안인순,수원시 장안구 조원로 100 (조원동),경기도 수원시 장안구 조원동 733-16,37.3015989,127.0151576,031-246-6306,2025-03-18
미용업,주은헤어,맹순옥,수원시 장안구 장안로 217번길 14 범아상가 107호(정자동),경기도 수원시 장안구 정자동 383 범야건설주식회사,37.3017939,126.9934622,031-271-4082,2025-03-18
미용업,문화미용실,변호자,수원시 장안구 정조로 934번길 29-18(영화동),경기도 수원시 장안구 영화동 293-30,37.2923678,127.0137912,031-256-1463,2025-03-18
미용업,현지미용실,이복순,수원시 장안구 창훈로19번길 12-1(연무동),경기도 수원시 장안구 연무동 228-34 미성피아노학원,37.2942036,127.0299575,031-252-8940,2025-03-18
미용업,닛시헤어필,김남옥,수원시 장안구 파장로21번길 27(송죽동),경기도 수원시 장안구 송죽동 489 광명판매센타,37.3033701,126.9973928,031-257-1411,2025-03-18
미용업,헤어디자인클럽,유명숙,수원시 장안구 파장천로 25번길 9(파장동),경기도 수원시 장안구 파장동 583-8,37.3079715,126.9944859,031-246-7798,2025-03-18
